index,deposit
0,22126.98046875
1,6812.07568359375
2,6249.962890625
3,6148.984375
4,6546.15185546875
5,19339.076171875
6,15698.2802734375
7,12862.841796875
8,12873.1943359375
9,12862.841796875
10,15019.1630859375
11,12977.1005859375
12,7557.84033203125
13,8225.1025390625
14,12577.263671875
15,17037.25
16,15515.318359375
17,13763.3125
18,11000.71875
19,8704.7529296875
20,10024.361328125
21,9708.19921875
22,6918.6025390625
23,20344.671875
24,8695.037109375
25,19204.87890625
26,23206.615234375
27,23206.615234375
28,23340.384765625
29,25676.658203125
30,9754.103515625
31,9754.103515625
32,27008.1328125
33,22265.703125
34,28804.009765625
35,26330.125
36,19817.697265625
37,20056.80078125
38,22535.248046875
39,21949.478515625
40,20298.8046875
41,10266.658203125
42,26596.650390625
43,28572.955078125
44,20842.890625
45,26041.912109375
46,20017.296875
47,19816.607421875
48,11816.8984375
49,24807.3203125
50,21012.263671875
51,18537.3515625
52,15364.3876953125
53,11816.8984375
54,14729.19140625
55,10022.4541015625
56,18916.765625
57,18916.765625
58,16086.3818359375
59,21621.724609375
60,18815.51171875
61,19733.896484375
62,14351.083984375
63,14351.083984375
64,19731.47265625
65,12361.443359375
66,14133.2763671875
67,13063.9658203125
68,18534.146484375
69,17547.982421875
70,19880.55859375
71,14491.3056640625
72,19198.521484375
73,19786.96875
74,13678.8544921875
75,13678.8544921875
76,14363.1826171875
77,14261.2822265625
78,14581.033203125
79,13886.8056640625
80,13336.8447265625
81,14457.8056640625
82,21145.005859375
83,14410.19140625
84,14410.19140625
85,9864.5537109375
86,19425.8828125
87,15663.0146484375
88,19373.515625
89,25889.13671875
90,19287.865234375
91,17257.189453125
92,18774.4609375
93,19256.091796875
94,19165.279296875
95,13782.1494140625
96,17814.8125
97,17054.970703125
98,14432.00390625
99,19583.5390625
100,13726.615234375
101,18483.642578125
102,18173.11328125
103,14755.4345703125
104,19903.37109375
105,10554.75
106,14013.3017578125
107,18476.94140625
108,18124.072265625
109,10600.1689453125
110,14852.0380859375
111,16269.501953125
112,18255.240234375
113,14636.646484375
114,15469.3076171875
115,18574.435546875
116,6644.97509765625
117,18583.2421875
118,10579.904296875
119,15539.861328125
120,10209.4326171875
121,7995.08837890625
122,7995.08837890625
123,15333.900390625
124,15773.943359375
125,10599.3369140625
126,16571.236328125
127,15836.9873046875
128,17633.9609375
129,17005.28515625
130,15786.677734375
131,16156.1591796875
132,7205.2490234375
133,7860.07421875
134,10274.9384765625
135,14193.49609375
136,21002.740234375
137,22158.779296875
138,15022.2060546875
139,15269.3701171875
140,12523.974609375
141,15949.5107421875
142,12683.12890625
143,12898.9033203125
144,7275.37890625
145,7254.056640625
146,6975.30419921875
147,6975.30419921875
148,6808.70556640625
149,6203.15966796875
150,7727.26123046875
151,6786.234375
152,8187.43017578125
153,8187.43017578125
154,7573.86279296875
155,7247.31298828125
156,7247.31298828125
157,7247.31298828125
158,23277.966796875
159,22281.689453125
160,15871.6376953125
161,16893.001953125
162,21745.689453125
163,13401.078125
164,25563.158203125
165,21824.630859375
166,21541.95703125
167,21541.95703125
168,12612.3994140625
169,25065.716796875
170,21398.248046875
171,25013.076171875
172,24278.28125
173,25477.974609375
174,25172.14453125
175,25172.14453125
176,13380.2470703125
177,12673.6064453125
178,12673.6064453125
179,25013.076171875
180,13401.078125
181,25671.140625
182,21362.90234375
183,18471.71484375
184,18328.373046875
185,18328.373046875
186,12589.7880859375
187,13075.3857421875
188,16893.001953125
189,13022.9267578125
190,18210.01171875
191,13712.8681640625
192,12986.6572265625
193,12811.3056640625
194,13171.37109375
195,15700.548828125
196,17845.248046875
197,17632.44140625
198,17845.248046875
199,13428.9228515625
200,13051.7734375
201,18456.3671875
202,16780.6640625
203,13428.9228515625
204,16826.912109375
205,13209.5283203125
206,13312.15625
207,21102.7734375
208,18186.916015625
209,21137.908203125
210,17813.583984375
211,12768.8916015625
212,21917.271484375
213,20933.302734375
214,13345.0673828125
215,25486.505859375
216,21869.771484375
217,12756.1357421875
218,15717.8212890625
219,50339.29296875
220,25238.01953125
221,26612.201171875
222,30266.013671875
