index,deposit
0,21946.903161132814
1,7579.508871459961
2,6034.780218658448
3,6243.000021972657
4,6351.070756530761
5,23350.26076290283
6,15003.637485636902
7,12129.63801864624
8,12193.331436767578
9,12129.63801864624
10,15848.095343444824
11,12396.93167312622
12,6794.053906860351
13,8320.914338378905
14,12562.56109725952
15,15760.307040161131
16,16333.433939797973
17,12681.107446289063
18,11329.841645507811
19,9023.560923706054
20,9413.599822692871
21,9623.300213485718
22,8230.292563476563
23,20567.49020074768
24,9750.754676055907
25,20886.302135620117
26,23629.420471765134
27,23629.420471765134
28,23540.414480361942
29,26745.348135510256
30,10688.266012573242
31,10688.266012573242
32,26687.773057556155
33,23310.72147614746
34,27171.278758239747
35,27035.377652075196
36,20880.866176757812
37,21232.855086413572
38,22371.49385036316
39,21276.73061553955
40,20529.785514221192
41,10914.294158935547
42,26743.106814602663
43,27999.521355093384
44,22213.454089193725
45,27738.910054016113
46,19431.595682525636
47,19096.45126501465
48,13919.500936889648
49,26718.945652313232
50,20818.75849694824
51,20047.11818170166
52,14968.383254803468
53,13919.500936889648
54,14178.306953887939
55,11612.360747680663
56,18461.735312805176
57,18461.735312805176
58,15026.07197598877
59,19664.13640333557
60,18903.973209823605
61,19416.329933166504
62,14226.455274658203
63,14226.455274658203
64,18918.436210739135
65,13833.9466557312
66,14132.456195526123
67,13698.85380935669
68,18218.234275268554
69,17118.206976501464
70,19165.51350439453
71,14950.240381866455
72,19583.41998959198
73,18906.143437820432
74,14004.94865097046
75,14004.94865097046
76,14596.247571731568
77,14082.223168029785
78,14753.282897103882
79,14009.125556106568
80,13956.82443069458
81,14133.839300689697
82,20562.76002822876
83,14550.784806010437
84,14550.784806010437
85,11989.671557464599
86,20016.89379721069
87,14932.64338290863
88,19207.182556152344
89,26641.609466766356
90,18767.859465728758
91,18614.38908338928
92,18395.11430255127
93,18858.539477966307
94,19478.486402792358
95,14077.83176345825
96,17465.744670776367
97,26149.758224487305
98,14533.063351045228
99,19698.854531860354
100,13953.909441452028
101,18601.636076934814
102,19277.32721240387
103,14780.622468782043
104,19207.91270324707
105,10422.16665058899
106,14687.673383526611
107,18831.402506433107
108,18804.51147402344
109,10642.593862442018
110,15147.231780316162
111,15956.339393667602
112,18961.693280831907
113,15199.190810855102
114,15589.320203262329
115,18763.555459698488
116,5439.146211547852
117,18826.09946524658
118,10608.775381942749
119,15580.787852633666
120,10734.171230712891
121,6235.789553527832
122,6235.789553527832
123,15234.425113401794
124,15300.905887835694
125,10657.4065730896
126,15434.143795550537
127,15202.872694717407
128,18878.4100665802
129,16201.938219903564
130,15800.042909039306
131,15785.600871542358
132,6353.8018176269525
133,7291.657400054932
134,10519.601918151855
135,14362.875878906249
136,20482.532379174805
137,20707.626542456055
138,16490.702614752197
139,17082.135176849366
140,13085.893622131347
141,16127.900691986086
142,12873.239057922363
143,17550.837277221683
144,8058.553953552247
145,7802.503994750977
